,mean_diff,ci_test_results,z_test_results,z_test_p_values,z_test_p_values_adj
A1BG,1.2122031575918866,False,False,0.3319295589667487,1.0
A1CF,-0.9222105142718476,False,False,0.3502643440838309,1.0
A2M,16.824068592700005,False,False,0.01590079884604982,1.0
A2ML1,0.9622997972061997,False,False,0.12899978635539505,1.0
A4GALT,0.3148899585139997,False,False,0.7356805049026885,1.0
A4GNT,-0.3624178269938091,False,False,0.6350186486422167,1.0
AAAS,0.5751300480000054,False,False,0.7716502009854199,1.0
AACS,1.5704222348000005,False,False,0.10997049109928693,1.0
AADAC,-0.971779490941574,False,False,0.2738857739623334,1.0
AADACL2,-0.07821752580914998,False,False,0.9256466913844703,1.0
AADACL3,-0.3369556997725448,False,False,0.7191056303869536,1.0
AADAT,-0.6201785064834002,False,False,0.6027102762012916,1.0
AAED1,0.49473606360000133,False,False,0.5211144683089873,1.0
AAGAB,3.889912342999999,True,False,0.0007041935654753635,1.0
AAK1,19.506222651999998,True,True,1.876914827956185e-35,3.527098344695263e-31
AAMDC,3.4837218229599998,False,False,0.174860776610809,1.0
AAMP,3.876268977999999,False,False,0.11207015486434141,1.0
AANAT,1.093672358260001,False,False,0.5318629127400399,1.0
AAR2,3.631296753800001,True,False,1.0462668534268591e-05,0.19661446709597535
AARD,1.1647880403131996,False,False,0.0840868285580389,1.0
AARS,-7.087058543000012,False,False,0.057396085646581996,1.0
AARS2,2.084748789399999,True,False,0.0072289753319149785,1.0
AASDH,-1.1488958769399993,False,False,0.31145116794618666,1.0
AASDHPPT,0.9696276381999986,False,False,0.48393043224381493,1.0
AASS,0.8851054290223996,False,False,0.20936253418905626,1.0
AATF,3.606786186000008,True,False,0.00388821861616461,1.0
AATK,1.6750679523719993,False,False,0.1892629811942338,1.0
ABAT,2.011573773080002,False,False,0.03558119566206325,1.0
ABC7-42404400C24.1,0.10973935597279971,False,False,0.6189823814987395,1.0
ABCA1,-3.863976423563999,False,False,0.01813407911032009,1.0
ABCA10,-0.02210485872793999,False,False,0.9659973534849535,1.0
ABCA12,-2.5100187311246795,False,False,0.10446139582307157,1.0
ABCA13,1.2874371330253398,False,False,0.37753054168373035,1.0
ABCA2,29.115051052800002,True,True,5.490737395837456e-29,1.0318193714257747e-24
ABCA3,1.4471414998799998,True,False,0.0013193852346871462,1.0
ABCA4,-1.4787192098735,False,False,0.23756891681800263,1.0
ABCA5,2.454710371199999,False,False,0.03755365213141164,1.0
ABCA6,-1.8615908045272997,False,False,0.1950489902502225,1.0
ABCA7,4.348041630600001,False,False,0.058546999276412375,1.0
ABCA8,2.739672667067696,False,False,0.08908460061618682,1.0
ABCA9,1.9816704506715999,False,False,0.17055200292560546,1.0
ABCB1,4.576218077123993,False,False,0.2222467998904788,1.0
ABCB10,3.013010798599998,False,False,0.04317953423431511,1.0
ABCB11,-2.434069954057226,False,False,0.06342130406719766,1.0
ABCB4,-5.107388467564001,True,False,0.0007318408856880668,1.0
ABCB5,0.02301781366899991,False,False,0.93873485949492,1.0
ABCB6,-2.5962322908999997,False,False,0.10765474598295546,1.0
ABCB7,-0.40448118400000155,False,False,0.7613729583388136,1.0
ABCB8,0.4923128272000028,False,False,0.7344394093154651,1.0
ABCB9,-0.27504584929999876,False,False,0.5648571515503568,1.0
ABCC1,-2.9515508892000035,False,False,0.06235610916936056,1.0
ABCC10,3.8901060824000027,True,False,5.9752559349178554e-05,1.0
ABCC11,0.22970505126529994,False,False,0.6231789170118228,1.0
ABCC12,1.2550700356819422,False,False,0.2644383925568957,1.0
ABCC2,-3.901995737220002,False,False,0.013984478289736311,1.0
ABCC3,-1.6051627886706,False,False,0.07892052651207947,1.0
ABCC4,-2.027180918700001,False,False,0.10860180827348574,1.0
ABCC5,3.6015658073999965,False,False,0.15304006717181692,1.0
ABCC6,-0.24747292531439902,False,False,0.8195467642256141,1.0
ABCC8,-0.01802224341826053,False,False,0.977038799387007,1.0
ABCC9,-0.13517296278599966,False,False,0.8946708129521067,1.0
ABCD1,1.2740526691999996,False,False,0.21196994396809377,1.0
ABCD2,0.016927423684000242,False,False,0.9880953877455253,1.0
ABCD3,0.816819602200006,False,False,0.6322584711572783,1.0
ABCD4,4.2134042598000025,True,True,1.3997276604223606e-08,0.00026303682194657
ABCE1,-7.325409897999997,True,False,0.00030719379823630034,1.0
ABCF1,3.870594526000005,False,False,0.07597341525698341,1.0
ABCF2,-2.4278424369999954,False,False,0.12086949675490295,1.0
ABCF3,-1.4717206568000023,False,False,0.26560540445767844,1.0
ABCG1,-1.9429314240799993,False,False,0.02613983614644331,1.0
ABCG2,1.6194813767900014,False,False,0.3735221640267812,1.0
ABCG4,0.08772102595420805,False,False,0.7978165462960958,1.0
ABCG5,0.6273001661415426,False,False,0.09359379360039484,1.0
ABCG8,0.01371123861238921,False,False,0.9902706162442136,1.0
ABHD1,0.09875345729520002,False,False,0.9129206424499692,1.0
ABHD10,-4.1589838742000005,False,False,0.01484541145123846,1.0
ABHD11,0.10242179872000001,False,False,0.8881017356280507,1.0
ABHD12,8.392897125799998,True,True,2.1999053605958553e-06,0.04134062153631731
ABHD12B,-0.9332771456253118,False,False,0.1547361519084063,1.0
ABHD13,0.8649904379999995,False,False,0.5411365623721065,1.0
ABHD14A,5.390170076999993,True,True,1.2055783982048388e-07,0.002265522925906533
ABHD14B,1.2338941160000019,False,False,0.45362350659817985,1.0
ABHD15,11.831831265399998,True,True,6.156601133153245e-10,1.1569484849421578e-05
ABHD16A,1.2303093009999984,False,False,0.17519292274613008,1.0
ABHD16B,-4.257270414601512,True,False,0.041501357423490766,1.0
ABHD17A,86.2252379294,True,True,9.997825425464563e-46,1.8787913539533007e-41
ABHD17B,3.6441194571999986,False,False,0.07393355315783767,1.0
ABHD17C,-2.846450882660001,False,False,0.06548928746459415,1.0
ABHD2,16.64574559399999,True,True,1.4100746807134963e-13,2.649812339996802e-09
ABHD3,6.01876896400001,True,False,0.0012537542033395823,1.0
ABHD4,11.6992319398,True,True,6.663702483081315e-09,0.00012522429706206405
ABHD5,2.247344673000004,False,False,0.0898883299626553,1.0
ABHD6,-2.8937065931999992,False,False,0.06102718223218479,1.0
ABHD8,1.3630978684000006,False,False,0.049331926692949044,1.0
ABI1,2.343410516000006,False,False,0.2832474499134039,1.0
ABI2,1.4806720285999972,False,False,0.412770359207943,1.0
ABI3,47.06437706060001,True,True,2.2275551928312738e-46,4.1860217183685295e-42
ABI3BP,3.6536862720306438,False,False,0.3060023359504458,1.0
ABL1,5.185613550999996,True,True,7.48074772697648e-09,0.00014057821128534201
ABL2,-0.8617108644000009,False,False,0.3495025897374604,1.0
ABLIM2,0.5554981273734001,False,False,0.4291020589076584,1.0
ABLIM3,0.1448325759327993,False,False,0.8594794543063591,1.0
ABR,98.37447376200004,True,True,1.4693253980831154e-08,0.0002761156288077791
ABRA,-2.81041083850726,False,False,0.14270229119037603,1.0
ABRACL,17.915046063999995,True,True,4.006435784273619e-09,7.528894125806985e-05
ABT1,3.299122316999995,True,False,0.0008902801322877474,1.0
ABTB1,2.6134613131999913,False,False,0.5694166561075222,1.0
ABTB2,-0.15775456451999936,False,False,0.9385972973509552,1.0
AC004076.9,-1.7625354080844,False,False,0.11755558970514114,1.0
AC004158.1,-3.996855955099439,False,False,0.058494550492508124,1.0
AC004381.6,-3.7747117910899997,False,False,0.03234810389501785,1.0
AC004556.1,-1.3795030966436226,False,False,0.38860720892000766,1.0
AC004813.1,6.056298185549995,True,False,0.00046506795874801246,1.0
AC004853.1,-0.2972037762482467,False,False,0.7770120830778083,1.0
AC005477.1,-0.008649113618876214,False,False,0.9934436770189632,1.0
AC005480.1,-0.6400686905797996,False,False,0.6160863940354067,1.0
AC006386.1,0.3997796354204004,False,False,0.641923267353387,1.0
AC006449.1,28.53861325972,True,True,4.9792120436846386e-36,9.356935272492173e-32
AC006449.2,28.42666236706,True,True,8.22735714308555e-31,1.5460849543286366e-26
AC006994.3,1.8164062098461309,False,False,0.503386878493305,1.0
AC007163.2,1.1674650410421479,False,False,0.1670032783978629,1.0
AC007325.1,-1.2350685378699993,False,False,0.48225662929427593,1.0
AC007325.2,0.83213793168128,False,False,0.20869175271266616,1.0
AC007906.1,1.3862329917241998,False,False,0.06847747159145427,1.0
AC008810.1,-1.986962080817996,False,False,0.18447623689409587,1.0
AC009022.1,0.5954281058204014,False,False,0.36590947525056106,1.0
AC009060.2,5.674498213599996,False,False,0.008718641969612279,1.0
AC009758.1,0.43236110525338844,False,False,0.7685883266415274,1.0
AC010287.1,-0.9648396900251197,False,False,0.36859315631250655,1.0
AC011043.1,1.816610947041199,False,False,0.08937063139492214,1.0
AC011476.1,1.4330280926179806,False,False,0.21097323549650338,1.0
AC011476.10,2.1157160556858217,False,False,0.012553159818249391,1.0
AC011476.11,-0.28933483945334015,False,False,0.6770677320471599,1.0
AC011476.12,-1.2503292504143402,False,False,0.2395064945884272,1.0
AC011476.13,-0.07099596400639974,False,False,0.9411492508169435,1.0
AC011476.14,0.14473378711935847,False,False,0.8531268857118142,1.0
AC011476.15,-0.2872571427498001,False,False,0.8185139343545029,1.0
AC011476.16,1.1391212956599714,False,False,0.3212407711104257,1.0
AC011476.17,2.4276143452961954,True,False,4.2472592303400165e-06,0.07981449545654959
AC011476.18,-0.9964515783399661,False,False,0.4939062458608541,1.0
AC011476.19,3.1793829234140008,True,False,0.001958403123803324,1.0
AC011476.2,1.0028431459030482,False,False,0.24168685436047965,1.0
AC011476.20,-1.0651137186806001,False,False,0.1910198828776396,1.0
AC011476.21,-0.8600797181515998,False,False,0.43147791779257383,1.0
AC011476.22,1.8075666990525117,False,False,0.09370451649163564,1.0
AC011476.23,-2.75792696350734,False,False,0.10431930371444013,1.0
AC011476.3,3.9975397698445203,True,True,6.08419321906647e-08,0.001143341589726971
AC011476.4,0.18361448164219984,False,False,0.6047999452585462,1.0
AC011476.5,-0.6267244748057001,False,False,0.17048461958009908,1.0
AC011476.6,1.550751811753352,False,False,0.2932631435309708,1.0
AC011476.7,-1.11013026425894,False,False,0.1642336549149528,1.0
AC011476.8,0.7662018631008003,False,False,0.5895778455528886,1.0
AC011476.9,-0.3562181091630199,False,False,0.6128333800829628,1.0
AC012005.3,-1.03154847754032,False,False,0.021295385653874437,1.0
AC012314.1,0.31435378681139997,False,False,0.4335981568997819,1.0
AC012314.10,-0.1200174455040397,False,False,0.8238746430647804,1.0
AC012314.11,1.7240247638715045,False,False,0.14551484151447108,1.0
